Partner,Email,Account Manager,Account ,Region,Specialisms,Turnover of Prospects,Employee No. of Prospects,Sectors Covered
Test Company 4,sample@Test Company 4.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 88,sample@Test Company 88.com,Kyle Thomson,Active ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales",CRM,"A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 96,sample@Test Company 96.com,,Old Disti ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","CRM,ERP,MRP","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 121,sample@Test Company 121.com,Sean Maher,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,Cloud,CRM,Invoice Automation,Project Management","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 141,sample@Test Company 141.com,Dannii Griffin,Old Disti ,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","BI,CRM,Document Management,ERP,Finance,GDPR,HR Software,MRP,Sharepoint","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 152,sample@Test Company 152.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Cloud,Connectivity,CRM,Disaster Recovery,E Commerce,ERP,Infrastructure,IT Security,IT Support,MS,Office 365,Storage Capacity,Telecoms,Virtualisation","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 155,sample@Test Company 155.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","CRM,ERP","A: 0 to 1M,B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 186,sample@Test Company 186.com,,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,Central Scotland,Wales","Cloud,CRM,ERP,Finance,GDPR,HR Software,MRP,Warehouse Management,Project Management","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Retail and Leisure,Construction"
Test Company 235,sample@Test Company 235.com,Sean Maher,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,CRM","C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Public Sector,Retail and Leisure,Construction"
Test Company 261,sample@Test Company 261.com,Sean Maher,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,Republic of Ireland,North Scotland,Central Scotland,Wales","Bespoke,BI,Cloud,Connectivity,CRM,Disaster Recovery,Document Management,E Commerce,ERP,Finance,GDPR,HR Software,Infrastructure,Invoice Automation,IT Security,IT Support,MRP,MS,Office 365,Virtualisation,Warehouse Management,Project Management","C: 5M to 10M,D: 10M to 20M,E: 20M to 50M,F: 50M to 100M,G: 100M to 250M,H: 250M to 500M,I: 500M to 1 Billion,J: > 1 Billion","C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499,G: 500 - 999,H: 1000 - 4999,I: 5000+","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,NFP,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing,Public Sector,Education - Colleges/Universities,Education - Schools - State,Education - Schools - Private,Retail and Leisure,Construction"
Test Company 262,sample@Test Company 262.com,Dannii Griffin,New  Disti,"North East,North West,East Midlands,West Midlands,South East,South West,London,Yorkshire,Northern Ireland,North Scotland,Central Scotland","Cloud,CRM,E Commerce,ERP,Finance,MRP,Warehouse Management,Project Management","B: 1M to 5M,C: 5M to 10M,D: 10M to 20M,E: 20M to 50M","A: 1 - 9,B: 10 - 19,C: 20 - 49,D: 50 - 99,E: 100 - 199,F: 200 - 499","Manufacturing - Discrete,Manufacturing - Process - Chemicals,Manufacturing - Process - Food and Beverage,Manufacturing - Apparel,Manufacturing - Engineering,Professional Services - Finance,Professional Services - Legal,Professional Services - Recruitment,Professional Services - Consultancy,Professional Services - Marketing,Wholesale/Distribution - Logistics,Wholesale/Distribution - Transport,Wholesale/Distribution - Warehousing"
